origin_id,origin_dipslay_name,destination_id,destination_display_name,date_range,mean_travel_time,range_lower,range_upper
"177","1230 Peachtree St NE, Atlanta, GA","494","Census Tract 95.01","9/1/2019 - 9/30/2019, Weekdays, Daily Average",606,413,888
"177","1230 Peachtree St NE, Atlanta, GA","498","Census Tract 504.22","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1548,1144,2094
"177","1230 Peachtree St NE, Atlanta, GA","499","Census Tract 504.24","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1461,1022,2088
"177","1230 Peachtree St NE, Atlanta, GA","502","Census Tract 504.19","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1772,1245,2520
"177","1230 Peachtree St NE, Atlanta, GA","504","Census Tract 504.30","9/1/2019 - 9/30/2019, Weekdays, Daily Average",2357,1651,3364
"177","1230 Peachtree St NE, Atlanta, GA","505","Census Tract 218.09","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1117,800,1558
"177","1230 Peachtree St NE, Atlanta, GA","506","Census Tract 207","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1264,886,1801
"177","1230 Peachtree St NE, Atlanta, GA","507","Census Tract 505.11","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1887,1338,2660
"177","1230 Peachtree St NE, Atlanta, GA","512","Census Tract 311.14","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1231,888,1705
"177","1230 Peachtree St NE, Atlanta, GA","513","Census Tract 313.13","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1793,1283,2504
"177","1230 Peachtree St NE, Atlanta, GA","517","Census Tract 302.20","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1743,1319,2303
"177","1230 Peachtree St NE, Atlanta, GA","518","Census Tract 312.06","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1525,1090,2132
"177","1230 Peachtree St NE, Atlanta, GA","519","Census Tract 302.26","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1773,1380,2277
"177","1230 Peachtree St NE, Atlanta, GA","525","Census Tract 302.29","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1786,1352,2357
"177","1230 Peachtree St NE, Atlanta, GA","526","Census Tract 306.02","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1703,1299,2232
"177","1230 Peachtree St NE, Atlanta, GA","535","Census Tract 802.02","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1761,1484,2089
"177","1230 Peachtree St NE, Atlanta, GA","539","Census Tract 502.11","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1571,1101,2240
"177","1230 Peachtree St NE, Atlanta, GA","541","Census Tract 503.19","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1333,924,1921
"177","1230 Peachtree St NE, Atlanta, GA","542","Census Tract 505.26","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1902,1427,2533
"177","1230 Peachtree St NE, Atlanta, GA","549","Census Tract 89.02","9/1/2019 - 9/30/2019, Weekdays, Daily Average",564,321,988
"177","1230 Peachtree St NE, Atlanta, GA","553","Census Tract 701.04","9/1/2019 - 9/30/2019, Weekdays, Daily Average",2121,1647,2730
"177","1230 Peachtree St NE, Atlanta, GA","554","Census Tract 312.11","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1365,947,1966
"177","1230 Peachtree St NE, Atlanta, GA","555","Census Tract 312.12","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1230,905,1671
"177","1230 Peachtree St NE, Atlanta, GA","556","Census Tract 302.27","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1840,1442,2347
"177","1230 Peachtree St NE, Atlanta, GA","563","Census Tract 1306.02","9/1/2019 - 9/30/2019, Weekdays, Daily Average",2222,1637,3014
"177","1230 Peachtree St NE, Atlanta, GA","567","Census Tract 1306.03","9/1/2019 - 9/30/2019, Weekdays, Daily Average",2296,1734,3039
"177","1230 Peachtree St NE, Atlanta, GA","571","Census Tract 1306.01","9/1/2019 - 9/30/2019, Weekdays, Daily Average",2314,1791,2988
"177","1230 Peachtree St NE, Atlanta, GA","581","Census Tract 502.09","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1911,1517,2406
"177","1230 Peachtree St NE, Atlanta, GA","582","Census Tract 504.36","9/1/2019 - 9/30/2019, Weekdays, Daily Average",2079,1596,2706
"177","1230 Peachtree St NE, Atlanta, GA","583","Census Tract 505.42","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1592,1144,2215
"177","1230 Peachtree St NE, Atlanta, GA","591","Census Tract 234.28","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1953,1406,2712
"177","1230 Peachtree St NE, Atlanta, GA","592","Census Tract 95.02","9/1/2019 - 9/30/2019, Weekdays, Daily Average",797,574,1105
"177","1230 Peachtree St NE, Atlanta, GA","593","Census Tract 96.02","9/1/2019 - 9/30/2019, Weekdays, Daily Average",769,528,1119
"177","1230 Peachtree St NE, Atlanta, GA","594","Census Tract 94.04","9/1/2019 - 9/30/2019, Weekdays, Daily Average",712,472,1074
"177","1230 Peachtree St NE, Atlanta, GA","595","Census Tract 94.03","9/1/2019 - 9/30/2019, Weekdays, Daily Average",629,422,936
"177","1230 Peachtree St NE, Atlanta, GA","596","Census Tract 102.12","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1570,1148,2145
"177","1230 Peachtree St NE, Atlanta, GA","597","Census Tract 101.14","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1022,700,1491
"177","1230 Peachtree St NE, Atlanta, GA","598","Census Tract 101.15","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1116,788,1579
"177","1230 Peachtree St NE, Atlanta, GA","599","Census Tract 101.13","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1115,765,1623
"177","1230 Peachtree St NE, Atlanta, GA","600","Census Tract 101.18","9/1/2019 - 9/30/2019, Weekdays, Daily Average",1541,1084,2189
